"Year","Net","Preceding_Net","ChangeFromPreceding_Net","Change_Net","TotalDebt"
"1982","-128.0000","-79.0000","49.0000","0.6202531645569620253","924.6000"
"1983","-207.8000","-128.0000","79.8000","0.6234375000000000000","1137.3000"
"1984","-185.4000","-207.8000","-22.4000","-0.1077959576515880654","1307.0000"
"1985","-212.3000","-185.4000","26.9000","0.1450916936353829557","1507.3000"
"1986","-221.2000","-212.3000","8.9000","0.0419218087611869995","1740.6000"
"1987","-149.7000","-221.2000","-71.5000","-0.3232368896925858951","1889.8000"
"1988","-155.2000","-149.7000","5.5000","0.0367401469605878423","2051.6000"
"1989","-152.6000","-155.2000","-2.6000","-0.0167525773195876288","2190.7000"
"1990","-221.0000","-152.6000","68.4000","0.4482306684141546526","2411.6000"
"1991","-269.2000","-221.0000","48.2000","0.2180995475113122171","2689.0000"
"1992","-290.3000","-269.2000","21.1000","0.0783803863298662704","2999.7000"
"1993","-255.1000","-290.3000","-35.2000","-0.1212538753014123320","3248.4000"
"1994","-203.2000","-255.1000","-51.9000","-0.2034496275970207761","3433.1000"
"1995","-164.0000","-203.2000","-39.2000","-0.1929133858267716535","3604.4000"
"1996","-107.4000","-164.0000","-56.6000","-0.3451219512195121951","3734.1000"
"1997","-21.9000","-107.4000","-85.5000","-0.7960893854748603351","3772.3000"
"1998","69.3000","-21.9000","-91.2000","-4.1643835616438356164","3721.1000"
"1999","125.6000","69.3000","-56.3000","-0.8124098124098124098","3632.4000"
"2000","236.2000","125.6000","-110.6000","-0.8805732484076433121","3409.8000"
"2001","128.2000","236.2000","108.0000","0.4572396274343776460","3319.6000"
"2002","-157.8000","128.2000","286.0000","2.2308892355694227769","3540.4000"
"2003","-377.6000","-157.8000","219.8000","1.3929024081115335868","3913.4000"
"2004","-412.7000","-377.6000","35.1000","0.0929555084745762711","4295.5000"
"2005","-318.3000","-412.7000","-94.4000","-0.2287375817785316210","4592.2000"
"2006","-248.2000","-318.3000","-70.1000","-0.2202324850769714106","4829.0000"
"2007","-160.7000","-248.2000","-87.5000","-0.3525382755842062852","5035.1000"
"2008","-458.6000","-160.7000","297.9000","1.8537647790914747977","5803.1000"
"2009","-1412.7000","-458.6000","954.1000","2.0804622764936764064","7544.7000"
"2010","-1294.4000","-1412.7000","-118.3000","-0.0837403553479153394","9018.9000"
"2011","-1299.6000","-1294.4000","5.2000","0.0040173053152039555","10128.2000"
"2012","-1076.6000","-1299.6000","-223.0000","-0.1715912588488765774","11281.1000"
"2013","-679.8000","-1076.6000","-396.8000","-0.3685677131710941853","11982.7000"
"2014","-484.8000","-679.8000","-195.0000","-0.2868490732568402471","12779.9000"
"2015","-442.0000","-484.8000","-42.8000","-0.0882838283828382838","13116.7000"
"2016","-584.7000","-442.0000","142.7000","0.3228506787330316742","14167.6000"
"2017","-665.4000","-584.7000","80.7000","0.1380194971780400205","14665.4000"
"2018","-779.1000","-665.4000","113.7000","0.1708746618575293056","15749.6000"
"2019","-959.9000","-779.1000","180.8000","0.2320626363753048389","16684.6000"
"2020","-1007.7000","-959.9000","47.8000","0.0497968538389415564","17755.0000"
"2021","-1033.9000","-1007.7000","26.2000","0.0259998015282326089","18841.1000"
"2022","-1158.8000","-1033.9000","124.9000","0.1208047199922623077","20041.6000"
"2023","-1181.5000","-1158.8000","22.7000","0.0195892302381774249","21263.8000"
"2024","-1151.2000","-1181.5000","-30.3000","-0.0256453660600931019","22456.5000"
"2025","-1284.1000","-1151.2000","132.9000","0.1154447533009034051","23784.1000"
"2026","-1274.2000","-1284.1000","-9.9000","-0.0077096799314695117","25102.0000"
"2027","-1260.3000","-1274.2000","-13.9000","-0.0109088055250353162","26406.8000"
"2028","-1478.7000","-1260.3000","218.4000","0.1732920733158771721","27917.0000"
